Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0805_2012Metric",172.656250,-183.860000,90.000000,bottom
"C2","22pF","C_0805_2012Metric",186.143750,-183.416250,90.000000,bottom
"C3","22pF","C_0805_2012Metric",177.718750,-183.328750,270.000000,bottom
"C4","0.1uF","C_0805_2012Metric",189.325000,-201.178750,270.000000,bottom
"C5","1uF","C_0805_2012Metric",171.393750,-189.953750,270.000000,bottom
"C6","0.1uF","C_0805_2012Metric",191.706250,-189.128750,90.000000,bottom
"C7","10uF","C_0805_2012Metric",173.450000,-200.385000,270.000000,bottom
"D1","D_Small","D_SOD-123",71.415000,-118.055000,90.000000,bottom
"D2","D_Small","D_SOD-123",95.472500,-138.552500,90.000000,bottom
"D3","D_Small","D_SOD-123",98.647500,-156.808750,90.000000,bottom
"D4","D_Small","D_SOD-123",108.966250,-176.652500,90.000000,bottom
"D5","D_Small","D_SOD-123",93.091250,-194.115000,90.000000,bottom
"D6","D_Small","D_SOD-123",105.791250,-118.771250,90.000000,bottom
"D7","D_Small","D_SOD-123",115.316250,-138.552500,90.000000,bottom
"D8","D_Small","D_SOD-123",120.078750,-156.808750,90.000000,bottom
"D9","D_Small","D_SOD-123",129.603750,-176.652500,90.000000,bottom
"D10","D_Small","D_SOD-123",124.841250,-118.708750,90.000000,bottom
"D11","D_Small","D_SOD-123",134.366250,-138.552500,90.000000,bottom
"D12","D_Small","D_SOD-123",139.128750,-156.808750,90.000000,bottom
"D13","D_Small","D_SOD-123",148.653750,-176.652500,90.000000,bottom
"D14","D_Small","D_SOD-123",115.316250,-194.115000,90.000000,bottom
"D15","D_Small","D_SOD-123",143.891250,-118.708750,90.000000,bottom
"D16","D_Small","D_SOD-123",153.416250,-138.552500,90.000000,bottom
"D17","D_Small","D_SOD-123",158.178750,-156.808750,90.000000,bottom
"D18","D_Small","D_SOD-123",167.703750,-176.652500,90.000000,bottom
"D19","D_Small","D_SOD-123",162.941250,-118.708750,90.000000,bottom
"D20","D_Small","D_SOD-123",172.466250,-138.552500,90.000000,bottom
"D21","D_Small","D_SOD-123",177.228750,-156.808750,90.000000,bottom
"D22","D_Small","D_SOD-123",186.753750,-176.652500,90.000000,bottom
"D23","D_Small","D_SOD-123",139.128750,-194.177500,90.000000,bottom
"D24","D_Small","D_SOD-123",181.991250,-118.708750,90.000000,bottom
"D25","D_Small","D_SOD-123",191.516250,-138.552500,90.000000,bottom
"D26","D_Small","D_SOD-123",196.278750,-156.808750,90.000000,bottom
"D27","D_Small","D_SOD-123",205.803750,-176.652500,90.000000,bottom
"D28","D_Small","D_SOD-123",201.041250,-118.708750,90.000000,bottom
"D29","D_Small","D_SOD-123",210.566250,-138.552500,90.000000,bottom
"D30","D_Small","D_SOD-123",215.328750,-156.808750,90.000000,bottom
"D31","D_Small","D_SOD-123",225.647500,-176.652500,90.000000,bottom
"D32","D_Small","D_SOD-123",220.091250,-118.708750,90.000000,bottom
"D33","D_Small","D_SOD-123",229.616250,-138.552500,90.000000,bottom
"D34","D_Small","D_SOD-123",234.378750,-156.808750,90.000000,bottom
"D35","D_Small","D_SOD-123",243.903750,-176.652500,90.000000,bottom
"D36","D_Small","D_SOD-123",221.678750,-194.177500,90.000000,bottom
"D37","D_Small","D_SOD-123",239.141250,-118.708750,90.000000,bottom
"D38","D_Small","D_SOD-123",248.666250,-138.552500,90.000000,bottom
"D39","D_Small","D_SOD-123",253.428750,-156.808750,90.000000,bottom
"D40","D_Small","D_SOD-123",262.953750,-176.652500,90.000000,bottom
"D41","D_Small","D_SOD-123",258.191250,-118.771250,90.000000,bottom
"D42","D_Small","D_SOD-123",267.716250,-138.552500,90.000000,bottom
"D43","D_Small","D_SOD-123",272.478750,-156.808750,90.000000,bottom
"D44","D_Small","D_SOD-123",281.210000,-175.858750,90.000000,bottom
"D45","D_Small","D_SOD-123",277.241250,-118.708750,90.000000,bottom
"D46","D_Small","D_SOD-123",286.766250,-138.615000,90.000000,bottom
"D47","D_Small","D_SOD-123",291.528750,-156.808750,90.000000,bottom
"D48","D_Small","D_SOD-123",302.641250,-175.858750,90.000000,bottom
"D49","D_Small","D_SOD-123",280.416250,-194.177500,90.000000,bottom
"D50","D_Small","D_SOD-123",296.291250,-118.708750,90.000000,bottom
"D51","D_Small","D_SOD-123",305.816250,-138.552500,90.000000,bottom
"D52","D_Small","D_SOD-123",310.578750,-156.808750,90.000000,bottom
"D53","D_Small","D_SOD-123",308.197500,-175.858750,90.000000,bottom
"D54","D_Small","D_SOD-123",305.816250,-194.177500,90.000000,bottom
"D55","D_Small","D_SOD-123",315.341250,-118.708750,90.000000,bottom
"D56","D_Small","D_SOD-123",324.866250,-138.552500,90.000000,bottom
"D57","D_Small","D_SOD-123",347.091250,-156.808750,90.000000,bottom
"D58","D_Small","D_SOD-123",328.041250,-194.115000,90.000000,bottom
"D59","D_Small","D_SOD-123",319.310000,-118.708750,90.000000,bottom
"D60","D_Small","D_SOD-123",351.060000,-138.552500,90.000000,bottom
"D61","D_Small","D_SOD-123",353.441250,-118.708750,90.000000,bottom
"D62","D_Small","D_SOD-123",353.441250,-175.858750,90.000000,bottom
"D63","D_Small","D_SOD-123",352.647500,-194.115000,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",92.445000,-129.605000,90.000000,bottom
"R1","22k","R_0805_2012Metric",145.517500,-193.895000,180.000000,bottom
"R2","22k","R_0805_2012Metric",145.525000,-191.345000,180.000000,bottom
"R3","10k","R_0805_2012Metric",170.275000,-183.572500,270.000000,bottom
"R4","10k","R_0805_2012Metric",191.637500,-199.563750,90.000000,bottom
"R5","5k","R_0805_2012Metric",86.845000,-125.302500,90.000000,bottom
"R6","5k","R_0805_2012Metric",90.205000,-125.292500,90.000000,bottom
"SW1","SW_Push","SKQG-1155865",164.718750,-192.447500,270.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",181.668750,-192.791250,0.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12",88.300000,-107.480000,0.000000,bottom
"Y1","16mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",182.668750,-183.366250,180.000000,bottom
