Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",183.214650,-207.170150,0.000000,bottom
"C2","22pF","C_0805_2012Metric",191.439650,-202.407650,0.000000,bottom
"C3","22pF","C_0805_2012Metric",191.439650,-194.470150,180.000000,bottom
"C4","0.1uF","C_0805_2012Metric",170.658400,-195.407650,270.000000,bottom
"C5","1uF","C_0805_2012Metric",193.533400,-190.501400,0.000000,bottom
"C6","0.1uF","C_0805_2012Metric",167.483400,-192.882650,180.000000,bottom
"C7","10uF","C_0805_2012Metric",170.658400,-203.345150,90.000000,bottom
"D1","D_Small","D_SOD-123",93.664650,-133.351400,180.000000,bottom
"D2","D_Small","D_SOD-123",115.889650,-129.445150,90.000000,bottom
"D3","D_Small","D_SOD-123",118.983400,-129.382650,90.000000,bottom
"D4","D_Small","D_SOD-123",138.033400,-129.382650,90.000000,bottom
"D5","D_Small","D_SOD-123",157.083400,-129.382650,90.000000,bottom
"D6","D_Small","D_SOD-123",176.133400,-129.382650,90.000000,bottom
"D7","D_Small","D_SOD-123",195.183400,-129.445150,90.000000,bottom
"D8","D_Small","D_SOD-123",214.233400,-129.382650,90.000000,bottom
"D9","D_Small","D_SOD-123",233.283400,-129.382650,90.000000,bottom
"D10","D_Small","D_SOD-123",252.333400,-129.445150,90.000000,bottom
"D11","D_Small","D_SOD-123",271.383400,-129.382650,90.000000,bottom
"D12","D_Small","D_SOD-123",290.433400,-129.382650,90.000000,bottom
"D13","D_Small","D_SOD-123",309.483400,-129.445150,90.000000,bottom
"D14","D_Small","D_SOD-123",328.533400,-129.382650,90.000000,bottom
"D15","D_Small","D_SOD-123",360.364650,-148.370150,90.000000,bottom
"D16","D_Small","D_SOD-123",106.283400,-148.432650,90.000000,bottom
"D17","D_Small","D_SOD-123",109.458400,-148.432650,90.000000,bottom
"D18","D_Small","D_SOD-123",128.508400,-148.432650,90.000000,bottom
"D19","D_Small","D_SOD-123",147.558400,-148.432650,90.000000,bottom
"D20","D_Small","D_SOD-123",166.608400,-148.432650,90.000000,bottom
"D21","D_Small","D_SOD-123",185.658400,-148.432650,90.000000,bottom
"D22","D_Small","D_SOD-123",204.708400,-148.432650,90.000000,bottom
"D23","D_Small","D_SOD-123",223.758400,-148.432650,90.000000,bottom
"D24","D_Small","D_SOD-123",242.808400,-148.432650,90.000000,bottom
"D25","D_Small","D_SOD-123",261.858400,-148.432650,90.000000,bottom
"D26","D_Small","D_SOD-123",280.908400,-148.432650,90.000000,bottom
"D27","D_Small","D_SOD-123",299.958400,-148.432650,90.000000,bottom
"D28","D_Small","D_SOD-123",319.008400,-148.432650,90.000000,bottom
"D29","D_Small","D_SOD-123",338.058400,-148.432650,90.000000,bottom
"D30","D_Small","D_SOD-123",111.045900,-169.070150,90.000000,bottom
"D31","D_Small","D_SOD-123",114.302150,-169.070150,90.000000,bottom
"D32","D_Small","D_SOD-123",133.352150,-169.070150,90.000000,bottom
"D33","D_Small","D_SOD-123",152.402150,-169.070150,90.000000,bottom
"D34","D_Small","D_SOD-123",171.452150,-169.070150,90.000000,bottom
"D35","D_Small","D_SOD-123",190.502150,-169.070150,90.000000,bottom
"D36","D_Small","D_SOD-123",209.552150,-169.070150,90.000000,bottom
"D37","D_Small","D_SOD-123",228.602150,-169.070150,90.000000,bottom
"D38","D_Small","D_SOD-123",247.652150,-169.070150,90.000000,bottom
"D39","D_Small","D_SOD-123",266.702150,-169.070150,90.000000,bottom
"D40","D_Small","D_SOD-123",285.752150,-169.070150,90.000000,bottom
"D41","D_Small","D_SOD-123",304.802150,-169.070150,90.000000,bottom
"D42","D_Small","D_SOD-123",323.852150,-169.070150,90.000000,bottom
"D43","D_Small","D_SOD-123",119.858400,-184.945150,90.000000,bottom
"D44","D_Small","D_SOD-123",123.827150,-184.945150,90.000000,bottom
"D45","D_Small","D_SOD-123",142.877150,-184.945150,90.000000,bottom
"D46","D_Small","D_SOD-123",161.927150,-184.945150,90.000000,bottom
"D47","D_Small","D_SOD-123",180.977150,-184.945150,90.000000,bottom
"D48","D_Small","D_SOD-123",200.027150,-184.945150,90.000000,bottom
"D49","D_Small","D_SOD-123",219.077150,-184.945150,90.000000,bottom
"D50","D_Small","D_SOD-123",238.127150,-184.945150,90.000000,bottom
"D51","D_Small","D_SOD-123",257.177150,-185.007650,90.000000,bottom
"D52","D_Small","D_SOD-123",276.227150,-184.945150,90.000000,bottom
"D53","D_Small","D_SOD-123",295.277150,-184.945150,90.000000,bottom
"D54","D_Small","D_SOD-123",314.327150,-184.945150,90.000000,bottom
"D55","D_Small","D_SOD-123",346.870900,-184.945150,90.000000,bottom
"D56","D_Small","D_SOD-123",101.602150,-203.995150,90.000000,bottom
"D57","D_Small","D_SOD-123",104.777150,-203.995150,90.000000,bottom
"D58","D_Small","D_SOD-123",128.589650,-203.995150,90.000000,bottom
"D59","D_Small","D_SOD-123",200.820900,-203.995150,90.000000,bottom
"D60","D_Small","D_SOD-123",271.464650,-203.995150,90.000000,bottom
"D61","D_Small","D_SOD-123",315.120900,-203.995150,90.000000,bottom
"D62","D_Small","D_SOD-123",339.727150,-203.932650,90.000000,bottom
"D63","D_Small","D_SOD-123",342.902150,-203.995150,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",105.980900,-139.271400,90.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",98.250900,-121.266400,0.000000,bottom
"R1","22k","R_0805_2012Metric",91.520900,-140.261400,0.000000,bottom
"R2","22k","R_0805_2012Metric",91.520900,-138.221400,0.000000,bottom
"R3","10k","R_0805_2012Metric",188.770900,-192.088900,180.000000,bottom
"R4","10k","R_0805_2012Metric",165.102150,-204.788900,270.000000,bottom
"R5","5k","R_0805_2012Metric",96.650900,-137.278900,90.000000,bottom
"R6","5k","R_0805_2012Metric",100.320900,-137.338900,90.000000,bottom
"SW1","SW_Push","SKQG-1155865",191.295900,-208.757650,180.000000,bottom
